notation,path ,name,description
,\Atmosphere\Total atmospheric deposition\C11HF21O2 (PFUnA),C11HF21O2 (PFUnA),"IUPAC: 2,2,3,3,4,4,5,5,6,6,7,7,8,8,9,9,10,10,11,11,11-henicosafluoroundecanoic acid, PubChem CID: 77222, CAS Number: 2058-94-8"
,\Atmosphere\POPs\C11HF21O2 (PFUnA),C11HF21O2 (PFUnA),"IUPAC: 2,2,3,3,4,4,5,5,6,6,7,7,8,8,9,9,10,10,11,11,11-henicosafluoroundecanoic acid, PubChem CID: 77222, CAS Number: 2058-94-8"
,\Atmosphere\Aerosol\Composition\C14H10Cl4 (pp_DDD),C14H10Cl4 (pp_DDD),"IUPAC: 1-chloro-4-[2,2-dichloro-1-(4-chlorophenyl)ethyl]benzene, PubChem CID: 6294, CAS Number: 72-54-8"
,\Atmosphere\Total atmospheric deposition\C14H10Cl4 (pp_DDD),C14H10Cl4 (pp_DDD),"IUPAC: 1-chloro-4-[2,2-dichloro-1-(4-chlorophenyl)ethyl]benzene, PubChem CID: 6294, CAS Number: 72-54-8"
,\Atmosphere\POPs\C14H10Cl4 (pp_DDD),C14H10Cl4 (pp_DDD),"IUPAC: 1-chloro-4-[2,2-dichloro-1-(4-chlorophenyl)ethyl]benzene, PubChem CID: 6294, CAS Number: 72-54-8"
,\Atmosphere\Aerosol\Composition\C14H8Cl4 (pp_DDE),C14H8Cl4 (pp_DDE),"IUPAC: 1-chloro-4-[2,2-dichloro-1-(4-chlorophenyl)ethenyl]benzene, PubChem CID: 3035, CAS Number: 72-55-9"
,\Atmosphere\Total atmospheric deposition\C14H8Cl4 (pp_DDE),C14H8Cl4 (pp_DDE),"IUPAC: 1-chloro-4-[2,2-dichloro-1-(4-chlorophenyl)ethenyl]benzene, PubChem CID: 3035, CAS Number: 72-55-9"
,\Atmosphere\POPs\C14H8Cl4 (pp_DDE),C14H8Cl4 (pp_DDE),"IUPAC: 1-chloro-4-[2,2-dichloro-1-(4-chlorophenyl)ethenyl]benzene, PubChem CID: 3035, CAS Number: 72-55-9"
,\Atmosphere\Aerosol\Composition\C14H9Cl5 (pp_DDT),C14H9Cl5 (pp_DDT),"IUPAC: 1-chloro-4-[2,2,2-trichloro-1-(4-chlorophenyl)ethyl]benzene, PubChem CID: 3036, CAS Number: 50-29-3"
,\Atmosphere\Total atmospheric deposition\C14H9Cl5 (pp_DDT),C14H9Cl5 (pp_DDT),"IUPAC: 1-chloro-4-[2,2,2-trichloro-1-(4-chlorophenyl)ethyl]benzene, PubChem CID: 3036, CAS Number: 50-29-3"
,\Atmosphere\POPs\C14H9Cl5 (pp_DDT),C14H9Cl5 (pp_DDT),"IUPAC: 1-chloro-4-[2,2,2-trichloro-1-(4-chlorophenyl)ethyl]benzene, PubChem CID: 3036, CAS Number: 50-29-3"
,\Atmosphere\Gas\Sum of propanone and propanal,Sum of propanone and propanal,
,\Atmosphere\ (trans_CD), (trans_CD),"IUPAC: , PubChem CID: , CAS Number: "
,\Atmosphere\ (trans_NO), (trans_NO),"IUPAC: , PubChem CID: , CAS Number: "
,\Atmosphere\Gas\ (unresolved_C6_hydrocarbons), (unresolved_C6_hydrocarbons),"IUPAC: , PubChem CID: , CAS Number: "
