#,WMO306CD_efrs,QualityFlagSysURL_efrs,Path_e,Name_e,Definition_e,Path_f,Name_f,Definition_f,Path_s,Name_s,Definition_s,Path_r,Name_r,Definition_r
173,dbcpCDIP,,>Co-sponsored>GOOS>DBCP>CDIP,CDIP,NA,>Coparrainage>GOOS>DBCP>CDIP,CDIP,s.o.,>Copatrocinado>SMOO>GCBD>CDIP,CDIP,NA,>Совместно спонсируемая>ГСНО> DBCP>CDIP,CDIP,NA
174,dbcpColombiaTSU,,>Co-sponsored>GOOS>DBCP>COLOMBIA-TSU,COLOMBIA-TSU,NA,>Coparrainage>GOOS>DBCP>COLOMBIA-TSU,COLOMBIA-TSU,s.o.,>Copatrocinado>SMOO>GCBD>COLOMBIA-TSU,COLOMBIA-TSU,NA,>Совместно спонсируемая>ГСНО> DBCP> COLOMBIA-TSU,COLOMBIA-TSU,NA
194,dbcpCormpNC,,>Co-sponsored>GOOS>DBCP>CORMP-NC,CORMP-NC,NA,>Coparrainage>GOOS>DBCP>CORMP-NC,CORMP-NC,s.o.,>Copatrocinado>SMOO>GCBD>CORMP-NC,CORMP-NC,NA,>Совместно спонсируемая>ГСНО> DBCP>CORMP-NC,CORMP-NC,NA
195,dbcp,,>Co-sponsored>GOOS>DBCP>DBCP,DBCP,NA,>Coparrainage>GOOS>DBCP>DBCP,DBCP,s.o.,>Copatrocinado>SMOO>GCBD>GCBD,GCBD,NA,>Совместно спонсируемая>ГСНО> DBCP>DBCP,DBCP,NA
197,cbcpDFODB,,>Co-sponsored>GOOS>DBCP>DFO DB,DFO DB,NA,>Coparrainage>GOOS>DBCP>DFO DB,DFO DB,s.o.,>Copatrocinado>SMOO>GCBD>DFO DB,DFO DB,NA,>Совместно спонсируемая>ГСНО> DBCP>DFO DB,DFO DB,NA
205,dbcpECDB,,>Co-sponsored>GOOS>DBCP>EC DB,EC DB,NA,>Coparrainage>GOOS>DBCP>EC DB,EC DB,s.o.,>Copatrocinado>SMOO>GCBD>EC DB,EC DB,NA,>Совместно спонсируемая>ГСНО> DBCP>EC DB,EC DB,NA
206,dbcpECMB,,>Co-sponsored>GOOS>DBCP>EC MB,EC MB,NA,>Coparrainage>GOOS>DBCP>EC MB,EC MB,s.o.,>Copatrocinado>SMOO>GCBD>EC MB,EC MB,NA,>Совместно спонсируемая>ГСНО> DBCP>EC MB,EC MB,NA
321,NA,,>Co-sponsored>GOOS>DBCP>EC-IABP,EC-IABP,NA,>Coparrainage>GOOS>DBCP>EC-IABP,EC-IABP,s.o.,>Copatrocinado>SMOO>GCBD>EC-IABP,EC-IABP,NA,>Совместно спонсируемая>ГСНО> DBCP>EC-IABP,EC-IABP,NA
200,eSurfmar,,>Co-sponsored>GOOS>DBCP>E-SURFMAR,E-SURFMAR,NA,>Coparrainage>GOOS>DBCP>E-SURFMAR,E-SURFMAR,s.o.,>Copatrocinado>SMOO>GCBD>E-SURFMAR,E-SURFMAR,NA,>Совместно спонсируемая>ГСНО> DBCP>E-SURFMAR,E-SURFMAR,NA
201,eSurfmarIrishIMI,,>Co-sponsored>GOOS>DBCP>E-SURFMAR-IRISH IMI,E-SURFMAR-IRISH IMI,NA,>Coparrainage>GOOS>DBCP>E-SURFMAR-IRISH IMI,E-SURFMAR-IRISH IMI,s.o.,>Copatrocinado>SMOO>GCBD>E-SURFMAR-IRISH IMI,E-SURFMAR-IRISH IMI,NA,>Совместно спонсируемая>ГСНО> DBCP>E-SURFMAR-IRISH IMI,E-SURFMAR-IRISH IMI,NA
202,eSurfmarNOAA,,>Co-sponsored>GOOS>DBCP>E-SURFMAR-NOAA,E-SURFMAR-NOAA,NA,>Coparrainage>GOOS>DBCP>E-SURFMAR-NOAA,E-SURFMAR-NOAA,s.o.,>Copatrocinado>SMOO>GCBD>E-SURFMAR-NOAA,E-SURFMAR-NOAA,NA,>Совместно спонсируемая>ГСНО> DBCP>E-SURFMAR-NOAA,E-SURFMAR-NOAA,NA
203,eSurfmarUKMB,,>Co-sponsored>GOOS>DBCP>E-SURFMAR-UK MB,E-SURFMAR-UK MB,NA,>Coparrainage>GOOS>DBCP>E-SURFMAR-UK MB,E-SURFMAR-UK MB,s.o.,>Copatrocinado>SMOO>GCBD>E-SURFMAR-UK MB,E-SURFMAR-UK MB,NA,>Совместно спонсируемая>ГСНО> DBCP>E-SURFMAR-UK MB,E-SURFMAR-UK MB,NA
204,eSurfmarUKFRMB,,>Co-sponsored>GOOS>DBCP>E-SURFMAR-UK/FR MB,E-SURFMAR-UK/FR MB,NA,>Coparrainage>GOOS>DBCP>E-SURFMAR-UK/FR MB,E-SURFMAR-UK/FR MB,s.o.,>Copatrocinado>SMOO>GCBD>E-SURFMAR-UK/FR MB,E-SURFMAR-UK/FR MB,NA,>Совместно спонсируемая>ГСНО> DBCP>E-SURFMAR-UK/FR MB,E-SURFMAR-UK/FR MB,NA
208,dbcpEurositesPlanier,,>Co-sponsored>GOOS>DBCP>EUROSITES PLANIER,EUROSITES PLANIER,NA,>Coparrainage>GOOS>DBCP>EUROSITES PLANIER,EUROSITES PLANIER,s.o.,>Copatrocinado>SMOO>GCBD>EUROSITES PLANIER,EUROSITES PLANIER,NA,>Совместно спонсируемая>ГСНО> DBCP>EUROSITES PLANIER,EUROSITES PLANIER,NA
209,dbcpFerhriTSU,,>Co-sponsored>GOOS>DBCP>FERHRI-TSU,FERHRI-TSU,NA,>Coparrainage>GOOS>DBCP>FERHRI-TSU,FERHRI-TSU,s.o.,>Copatrocinado>SMOO>GCBD>FERHRI-TSU,FERHRI-TSU,NA,>Совместно спонсируемая>ГСНО> DBCP>FERHRI-TSU,FERHRI-TSU,NA
210,dbcpGermanyMB,,>Co-sponsored>GOOS>DBCP>GERMANY MB,GERMANY MB,NA,>Coparrainage>GOOS>DBCP>GERMANY MB,GERMANY MB,s.o.,>Copatrocinado>SMOO>GCBD>GERMANY MB,GERMANY MB,NA,>Совместно спонсируемая>ГСНО> DBCP>GERMANY MB,GERMANY MB,NA
211,dbcpGloscal,,>Co-sponsored>GOOS>DBCP>GLOSCAL,GLOSCAL,NA,>Coparrainage>GOOS>DBCP>GLOSCAL,GLOSCAL,s.o.,>Copatrocinado>SMOO>GCBD>GLOSCAL,GLOSCAL,NA,>Совместно спонсируемая>ГСНО> DBCP>GLOSCAL,GLOSCAL,NA
212,dbcpGreeceMB,,>Co-sponsored>GOOS>DBCP>GREECE MB,GREECE MB,NA,>Coparrainage>GOOS>DBCP>GREECE MB,GREECE MB,s.o.,>Copatrocinado>SMOO>GCBD>GREECE MB,GREECE MB,NA,>Совместно спонсируемая>ГСНО> DBCP>GREECE MB,GREECE MB,NA
322,NA,,>Co-sponsored>GOOS>DBCP>HK-OBS-DB,HK-OBS-DB,NA,>Coparrainage>GOOS>DBCP>HK-OBS-DB,HK-OBS-DB,s.o.,>Copatrocinado>SMOO>GCBD>HK-OBS-DB,HK-OBS-DB,NA,>Совместно спонсируемая>ГСНО> DBCP>HK-OBS-DB,HK-OBS-DB,NA
214,dbcpIABP,,>Co-sponsored>GOOS>DBCP>IABP,IABP,NA,>Coparrainage>GOOS>DBCP>IABP,IABP,s.o.,>Copatrocinado>SMOO>GCBD>PIBA,PIBA,NA,>Совместно спонсируемая>ГСНО> DBCP>IABP,IABP,NA
215,dbcpIABPCanada,,>Co-sponsored>GOOS>DBCP>IABP CANADA,IABP CANADA,NA,>Coparrainage>GOOS>DBCP>IABP CANADA,IABP CANADA,s.o.,>Copatrocinado>SMOO>GCBD>IABP CANADA,IABP CANADA,NA,>Совместно спонсируемая>ГСНО> DBCP>IABP CANADA,IABP CANADA,NA
216,dbcpIABPNIC,,>Co-sponsored>GOOS>DBCP>IABP NIC,IABP NIC,NA,>Coparrainage>GOOS>DBCP>IABP NIC,IABP NIC,s.o.,>Copatrocinado>SMOO>GCBD>IABP NIC,IABP NIC,NA,>Совместно спонсируемая>ГСНО> DBCP>IABP NIC,IABP NIC,NA
217,dbcpIABPUS,,>Co-sponsored>GOOS>DBCP>IABP US,IABP US,NA,>Coparrainage>GOOS>DBCP>IABP US,IABP US,s.o.,>Copatrocinado>SMOO>GCBD>IABP US,IABP US,NA,>Совместно спонсируемая>ГСНО> DBCP>IABP US,IABP US,NA
218,dbcpIABPEC,,>Co-sponsored>GOOS>DBCP>IABP-EC,IABP-EC,NA,>Coparrainage>GOOS>DBCP>IABP-EC,IABP-EC,s.o.,>Copatrocinado>SMOO>GCBD>IABP-EC,IABP-EC,NA,>Совместно спонсируемая>ГСНО> DBCP>IABP-EC,IABP-EC,NA
219,dbcpIABPUW,,>Co-sponsored>GOOS>DBCP>IABP-UW,IABP-UW,NA,>Coparrainage>GOOS>DBCP>IABP-UW,IABP-UW,s.o.,>Copatrocinado>SMOO>GCBD>IABP-UW,IABP-UW,NA,>Совместно спонсируемая>ГСНО> DBCP>IABP-UW,IABP-UW,NA
220,dbcpIBPIO,,>Co-sponsored>GOOS>DBCP>IBPIO,IBPIO,NA,>Coparrainage>GOOS>DBCP>IBPIO,IBPIO,s.o.,>Copatrocinado>SMOO>GCBD>IBPIO,IBPIO,NA,>Совместно спонсируемая>ГСНО> DBCP>IBPIO,IBPIO,NA
221,dbcpINCOISTSU,,>Co-sponsored>GOOS>DBCP>INCOIS-TSU,INCOIS-TSU,NA,>Coparrainage>GOOS>DBCP>INCOIS-TSU,INCOIS-TSU,s.o.,>Copatrocinado>SMOO>GCBD>INCOIS-TSU,INCOIS-TSU,NA,>Совместно спонсируемая>ГСНО> DBCP>INCOIS-TSU,INCOIS-TSU,NA
222,dbcpIndiaNIO,,>Co-sponsored>GOOS>DBCP>INDIA NIO,INDIA NIO,NA,>Coparrainage>GOOS>DBCP>INDIA NIO,INDIA NIO,s.o.,>Copatrocinado>SMOO>GCBD>INDIA NIO,INDIA NIO,NA,>Совместно спонсируемая>ГСНО> DBCP>INDIA NIO,INDIA NIO,NA
223,dbcpIndiaNIOTSU,,>Co-sponsored>GOOS>DBCP>INDIA NIO-TSU,INDIA NIO-TSU,NA,>Coparrainage>GOOS>DBCP>INDIA NIO-TSU,INDIA NIO-TSU,s.o.,>Copatrocinado>SMOO>GCBD>INDIA NIO-TSU,INDIA NIO-TSU,NA,>Совместно спонсируемая>ГСНО> DBCP>INDIA NIO-TSU,INDIA NIO-TSU,NA
224,dbcpIndiaNIOT,,>Co-sponsored>GOOS>DBCP>INDIA-NIOT,INDIA-NIOT,NA,>Coparrainage>GOOS>DBCP>INDIA-NIOT,INDIA-NIOT,s.o.,>Copatrocinado>SMOO>GCBD>INDIA-NIOT,INDIA-NIOT,NA,>Совместно спонсируемая>ГСНО> DBCP>INDIA-NIOT,ИНДИЯ-NIOT,NA
225,dbcpINOCARTSU,,>Co-sponsored>GOOS>DBCP>INOCAR-TSU,INOCAR-TSU,NA,>Coparrainage>GOOS>DBCP>INOCAR-TSU,INOCAR-TSU,s.o.,>Copatrocinado>SMOO>GCBD>INOCAR-TSU,INOCAR-TSU,NA,>Совместно спонсируемая>ГСНО> DBCP>INOCAR-TSU,INOCAR-TSU,NA
226,dbcpItalyDB,,>Co-sponsored>GOOS>DBCP>ITALY DB,ITALY DB,NA,>Coparrainage>GOOS>DBCP>ITALY DB,ITALY DB,s.o.,>Copatrocinado>SMOO>GCBD>ITALY DB,ITALY DB,NA,>Совместно спонсируемая>ГСНО> DBCP> ITALY DB,ITALY DB,NA
227,dbcpItalyOGS,,>Co-sponsored>GOOS>DBCP>ITALY-OGS,ITALY-OGS,NA,>Coparrainage>GOOS>DBCP>ITALY-OGS,ITALY-OGS,s.o.,>Copatrocinado>SMOO>GCBD>ITALY-OGS,ITALY-OGS,NA,>Совместно спонсируемая>ГСНО> DBCP> ITALY-OGS,ITALY-OGS,NA
230,dbcpJMADB,,>Co-sponsored>GOOS>DBCP>JMA DB,JMA DB,NA,>Coparrainage>GOOS>DBCP>JMA DB,JMA DB,s.o.,>Copatrocinado>SMOO>GCBD>JMA DB,JMA DB,NA,>Совместно спонсируемая>ГСНО> DBCP>JMA DB,JMA DB,NA
231,dbcpJMATSU,,>Co-sponsored>GOOS>DBCP>JMA-TSU,JMA-TSU,NA,>Coparrainage>GOOS>DBCP>JMA-TSU,JMA-TSU,s.o.,>Copatrocinado>SMOO>GCBD>JMA-TSU,JMA-TSU,NA,>Совместно спонсируемая>ГСНО> DBCP>JMA-TSU,JMA-TSU,NA
232,dbcpKMAMB,,>Co-sponsored>GOOS>DBCP>KMA MB,KMA MB,NA,>Coparrainage>GOOS>DBCP>KMA MB,KMA MB,s.o.,>Copatrocinado>SMOO>GCBD>KMA MB,KMA MB,NA,>Совместно спонсируемая>ГСНО> DBCP>KMA MB,KMA MB,NA
233,dbcpLocean,,>Co-sponsored>GOOS>DBCP>LOCEAN,LOCEAN,NA,>Coparrainage>GOOS>DBCP>LOCEAN,LOCEAN,s.o.,>Copatrocinado>SMOO>GCBD>LOCEAN,LOCEAN,NA,>Совместно спонсируемая>ГСНО> DBCP>LOCEAN,LOCEAN,NA
323,NA,,>Co-sponsored>GOOS>DBCP>MARLIN-DB,MARLIN-DB,NA,>Coparrainage>GOOS>DBCP>MARLIN-DB,MARLIN-DB,s.o.,>Copatrocinado>SMOO>GCBD>MARLIN-DB,MARLIN-DB,NA,>Совместно спонсируемая>ГСНО> DBCP>MARLIN-DB,MARLIN-DB,NA
237,dbcpMeteoFranceDB,,>Co-sponsored>GOOS>DBCP>METEO FRANCE DB,METEO FRANCE DB,NA,>Coparrainage>GOOS>DBCP>METEO FRANCE DB,METEO FRANCE DB,s.o.,>Copatrocinado>SMOO>GCBD>METEO FRANCE DB,METEO FRANCE DB,NA,>Совместно спонсируемая>ГСНО> DBCP>METEO FRANCE DB,METEO FRANCE DB,NA
238,dbcpMeteoFranceMB,,>Co-sponsored>GOOS>DBCP>METEO FRANCE MB,METEO FRANCE MB,NA,>Coparrainage>GOOS>DBCP>METEO FRANCE MB,METEO FRANCE MB,s.o.,>Copatrocinado>SMOO>GCBD>METEO FRANCE MB,METEO FRANCE MB,NA,>Совместно спонсируемая>ГСНО> DBCP>METEO FRANCE MB,METEO FRANCE MB,NA
239,dbcpMeteoFranceWB,,>Co-sponsored>GOOS>DBCP>METEO FRANCE WB,METEO FRANCE WB,NA,>Coparrainage>GOOS>DBCP>METEO FRANCE WB,METEO FRANCE WB,s.o.,>Copatrocinado>SMOO>GCBD>METEO FRANCE WB,METEO FRANCE WB,NA,>Совместно спонсируемая>ГСНО> DBCP>METEO FRANCE WB,METEO FRANCE WB,NA
241,dbcpNCCOOS,,>Co-sponsored>GOOS>DBCP>NCCOOS,NCCOOS,NA,>Coparrainage>GOOS>DBCP>NCCOOS,NCCOOS,s.o.,>Copatrocinado>SMOO>GCBD>NCCOOS,NCCOOS,NA,>Совместно спонсируемая>ГСНО> DBCP>NCCOOS,NCCOOS,NA
242,dbcpNDBCBP,,>Co-sponsored>GOOS>DBCP>NDBC-BP,NDBC-BP,NA,>Coparrainage>GOOS>DBCP>NDBC-BP,NDBC-BP,s.o.,>Copatrocinado>SMOO>GCBD>NDBC-BP,NDBC-BP,NA,>Совместно спонсируемая>ГСНО> DBCP>NDBC-BP,NDBC-BP,NA
243,dbcpNDBCCOE,,>Co-sponsored>GOOS>DBCP>NDBC-COE,NDBC-COE,NA,>Coparrainage>GOOS>DBCP>NDBC-COE,NDBC-COE,s.o.,>Copatrocinado>SMOO>GCBD>NDBC-COE,NDBC-COE,NA,>Совместно спонсируемая>ГСНО> DBCP>NDBC-COE,NDBC-COE,NA
244,dbcpNDBCCSI,,>Co-sponsored>GOOS>DBCP>NDBC-CSI,NDBC-CSI,NA,>Coparrainage>GOOS>DBCP>NDBC-CSI,NDBC-CSI,s.o.,>Copatrocinado>SMOO>GCBD>NDBC-CSI,NDBC-CSI,NA,>Совместно спонсируемая>ГСНО> DBCP>NDBC-CSI,NDBC-CSI,NA
245,dbcpNDBCMB,,>Co-sponsored>GOOS>DBCP>NDBC-MB,NDBC-MB,NA,>Coparrainage>GOOS>DBCP>NDBC-MB,NDBC-MB,s.o.,>Copatrocinado>SMOO>GCBD>NDBC-MB,NDBC-MB,NA,>Совместно спонсируемая>ГСНО> DBCP>NDBC-MB,NDBC-MB,NA
246,dbcpNDBCMBARI,,>Co-sponsored>GOOS>DBCP>NDBC-MBARI,NDBC-MBARI,NA,>Coparrainage>GOOS>DBCP>NDBC-MBARI,NDBC-MBARI,s.o.,>Copatrocinado>SMOO>GCBD>NDBC-MBARI,NDBC-MBARI,NA,>Совместно спонсируемая>ГСНО> DBCP>NDBC-MBARI,NDBC-MBARI,NA
247,dbcpNDBCNASA,,>Co-sponsored>GOOS>DBCP>NDBC-NASA,NDBC-NASA,NA,>Coparrainage>GOOS>DBCP>NDBC-s.o.SA,NDBC-s.o.SA,s.o.,>Copatrocinado>SMOO>GCBD>NDBC-NASA,NDBC-NASA,NA,>Совместно спонсируемая>ГСНО> DBCP>NDBC-NASA,NDBC-NASA,NA
248,dbcpcNOAANWS,,>Co-sponsored>GOOS>DBCP>NDBC-NOAA-NWS,NDBC-NOAA-NWS,NA,>Coparrainage>GOOS>DBCP>NDBC-NOAA-NWS,NDBC-NOAA-NWS,s.o.,>Copatrocinado>SMOO>GCBD>NDBC-NOAA-NWS,NDBC-NOAA-NWS,NA,>Совместно спонсируемая>ГСНО> DBCP>NDBC-NOAA-NWS,NDBC-NOAA-NWS,NA
249,dbcpNDBCTABS,,>Co-sponsored>GOOS>DBCP>NDBC-TABS,NDBC-TABS,NA,>Coparrainage>GOOS>DBCP>NDBC-TABS,NDBC-TABS,s.o.,>Copatrocinado>SMOO>GCBD>NDBC-TABS,NDBC-TABS,NA,>Совместно спонсируемая>ГСНО> DBCP>NDBC-TABS,NDBC-TABS,NA
250,dbcpNDBCTSU,,>Co-sponsored>GOOS>DBCP>NDBC-TSU,NDBC-TSU,NA,>Coparrainage>GOOS>DBCP>NDBC-TSU,NDBC-TSU,s.o.,>Copatrocinado>SMOO>GCBD>NDBC-TSU,NDBC-TSU,NA,>Совместно спонсируемая>ГСНО> DBCP>NDBC-TSU,NDBC-TSU,NA
251,dbcpNDBCUSCG,,>Co-sponsored>GOOS>DBCP>NDBC-USCG,NDBC-USCG,NA,>Coparrainage>GOOS>DBCP>NDBC-USCG,NDBC-USCG,s.o.,>Copatrocinado>SMOO>GCBD>NDBC-USCG,NDBC-USCG,NA,>Совместно спонсируемая>ГСНО> DBCP>NDBC-USCG,NDBC-USCG,NA
252,dbcpNDWCTSU,,>Co-sponsored>GOOS>DBCP>NDWC-TSU,NDWC-TSU,NA,>Coparrainage>GOOS>DBCP>NDWC-TSU,NDWC-TSU,s.o.,>Copatrocinado>SMOO>GCBD>NDWC-TSU,NDWC-TSU,NA,>Совместно спонсируемая>ГСНО> DBCP>NDWC-TSU,NDWC-TSU,NA
253,dbcpNewZealandDB,,>Co-sponsored>GOOS>DBCP>NEW ZEALAND DB,NEW ZEALAND DB,NA,>Coparrainage>GOOS>DBCP>NEW ZEALAND DB,NEW ZEALAND DB,s.o.,>Copatrocinado>SMOO>GCBD>NEW ZEALAND DB,NEW ZEALAND DB,NA,>Совместно спонсируемая>ГСНО> DBCP>NEW ZEALAND DB,NEW ZEALAND DB,NA
324,NA,,>Co-sponsored>GOOS>DBCP>NIC-IABP,NIC-IABP,NA,>Coparrainage>GOOS>DBCP>NIC-IABP,NIC-IABP,s.o.,>Copatrocinado>SMOO>GCBD>NIC-IABP,NIC-IABP,NA,>Совместно спонсируемая>ГСНО> DBCP>NIC-IABP,NIC-IABP,NA
254,dbcpNOAACBIBS,,>Co-sponsored>GOOS>DBCP>NOAA-CBIBS,NOAA-CBIBS,NA,>Coparrainage>GOOS>DBCP>NOAA-CBIBS,NOAA-CBIBS,s.o.,>Copatrocinado>SMOO>GCBD>NOAA-CBIBS,NOAA-CBIBS,NA,>Совместно спонсируемая>ГСНО> DBCP>NOAA-CBIBS,NOAA-CBIBS,NA
255,dbcpNorwayIMR,,>Co-sponsored>GOOS>DBCP>NORWAY-IMR,NORWAY-IMR,NA,>Coparrainage>GOOS>DBCP>NORWAY-IMR,NORWAY-IMR,s.o.,>Copatrocinado>SMOO>GCBD>NORWAY-IMR,NORWAY-IMR,NA,>Совместно спонсируемая>ГСНО> DBCP>NORWAY-IMR,NORWAY-IMR,NA
256,dbcpNWSNDBCMB,,>Co-sponsored>GOOS>DBCP>NWS-NDBC-MB,NWS-NDBC-MB,NA,>Coparrainage>GOOS>DBCP>NWS-NDBC-MB,NWS-NDBC-MB,s.o.,>Copatrocinado>SMOO>GCBD>NWS-NDBC-MB,NWS-NDBC-MB,NA,>Совместно спонсируемая>ГСНО> DBCP>NWS-NDBC-MB,NWS-NDBC-MB,NA
257,dbcpNDBCWB,,>Co-sponsored>GOOS>DBCP>NWS-NDBC-WB,NWS-NDBC-WB,NA,>Coparrainage>GOOS>DBCP>NWS-NDBC-WB,NWS-NDBC-WB,s.o.,>Copatrocinado>SMOO>GCBD>NWS-NDBC-WB,NWS-NDBC-WB,NA,>Совместно спонсируемая>ГСНО> DBCP>NWS-NDBC-WB,NWS-NDBC-WB,NA
258,dbcpPacioos,,>Co-sponsored>GOOS>DBCP>PACIOOS,PACIOOS,NA,>Coparrainage>GOOS>DBCP>PACIOOS,PACIOOS,s.o.,>Copatrocinado>SMOO>GCBD>PACIOOS,PACIOOS,NA,>Совместно спонсируемая>ГСНО> DBCP>PACIOOS,PACIOOS,NA
259,dbcpPetrobras,,>Co-sponsored>GOOS>DBCP>PETROBRAS,PETROBRAS,NA,>Coparrainage>GOOS>DBCP>PETROBRAS,PETROBRAS,s.o.,>Copatrocinado>SMOO>GCBD>PETROBRAS,PETROBRAS,NA,>Совместно спонсируемая>ГСНО> DBCP>PETROBRAS,PETROBRAS,NA
325,NA,,>Co-sponsored>GOOS>DBCP>PMEL MB,PMEL MB,NA,>Coparrainage>GOOS>DBCP>PMEL MB,PMEL MB,s.o.,>Copatrocinado>SMOO>GCBD>PMEL MB,PMEL MB,NA,>Совместно спонсируемая>ГСНО> DBCP>PMEL MB,PMEL MB,NA
260,dbcpScrips,,>Co-sponsored>GOOS>DBCP>SCRIPS,SCRIPS,NA,>Coparrainage>GOOS>DBCP>SCRIPS,SCRIPS,s.o.,>Copatrocinado>SMOO>GCBD>SCRIPS,SCRIPS,NA,>Совместно спонсируемая>ГСНО> DBCP>SCRIPS,SCRIPS,NA
261,dbcpShell,,>Co-sponsored>GOOS>DBCP>SHELL,SHELL,NA,>Coparrainage>GOOS>DBCP>SHELL,SHELL,s.o.,>Copatrocinado>SMOO>GCBD>SHELL,SHELL,NA,>Совместно спонсируемая>ГСНО> DBCP>SHELL,SHELL,NA
262,dbcpShoaTSU,,>Co-sponsored>GOOS>DBCP>SHOA-TSU,SHOA-TSU,NA,>Coparrainage>GOOS>DBCP>SHOA-TSU,SHOA-TSU,s.o.,>Copatrocinado>SMOO>GCBD>SHOA-TSU,SHOA-TSU,NA,>Совместно спонсируемая>ГСНО> DBCP>SHOA-TSU,SHOA-TSU,NA
263,dbcpSIODB,,>Co-sponsored>GOOS>DBCP>SIO-DB,SIO-DB,NA,>Coparrainage>GOOS>DBCP>SIO-DB,SIO-DB,s.o.,>Copatrocinado>SMOO>GCBD>SIO-DB,SIO-DB,NA,>Совместно спонсируемая>ГСНО> DBCP>SIO-DB,SIO-DB,NA
264,dbcpSpainPDEMB,,>Co-sponsored>GOOS>DBCP>SPAIN-PDE MB,SPAIN-PDE MB,NA,>Coparrainage>GOOS>DBCP>SPAIN-PDE MB,SPAIN-PDE MB,s.o.,>Copatrocinado>SMOO>GCBD>SPAIN-PDE MB,SPAIN-PDE MB,NA,>Совместно спонсируемая>ГСНО> DBCP> SPAIN-PDE MB,SPAIN-PDE MB,NA
265,dbcpStratus,,>Co-sponsored>GOOS>DBCP>STRATUS,STRATUS,NA,>Coparrainage>GOOS>DBCP>STRATUS,STRATUS,s.o.,>Copatrocinado>SMOO>GCBD>STRATUS,STRATUS,NA,>Совместно спонсируемая>ГСНО> DBCP>STRATUS,STRATUS,NA
266,dbcpTaoAtlas,,>Co-sponsored>GOOS>DBCP>TAO ATLAS,TAO ATLAS,NA,>Coparrainage>GOOS>DBCP>TAO ATLAS,TAO ATLAS,s.o.,>Copatrocinado>SMOO>GCBD>TAO ATLAS,TAO ATLAS,NA,>Совместно спонсируемая>ГСНО> DBCP>TAO ATLAS,TAO ATLAS,NA
267,dbcpTaoPirata,,>Co-sponsored>GOOS>DBCP>TAO PIRATA,TAO PIRATA,NA,>Coparrainage>GOOS>DBCP>TAO PIRATA,TAO PIRATA,s.o.,>Copatrocinado>SMOO>GCBD>TAO PIRATA,TAO PIRATA,NA,>Совместно спонсируемая>ГСНО> DBCP>TAO PIRATA,TAO PIRATA,NA
268,dbcpTaoPirataUS,,>Co-sponsored>GOOS>DBCP>TAO PIRATA US,TAO PIRATA US,NA,>Coparrainage>GOOS>DBCP>TAO PIRATA US,TAO PIRATA US,s.o.,>Copatrocinado>SMOO>GCBD>TAO PIRATA US,TAO PIRATA US,NA,>Совместно спонсируемая>ГСНО> DBCP>TAO PIRATA US,TAO PIRATA US,NA
269,dbcpTaoRamaUSIndia,,>Co-sponsored>GOOS>DBCP>TAO RAMA US-INDIA,TAO RAMA US-INDIA,NA,>Coparrainage>GOOS>DBCP>TAO RAMA US-INDIA,TAO RAMA US-INDIA,s.o.,>Copatrocinado>SMOO>GCBD>TAO RAMA US-INDIA,TAO RAMA US-INDIA,NA,>Совместно спонсируемая>ГСНО> DBCP> TAO RAMA US-INDIA,TAO RAMA US-INDIA,NA
270,dbcpTaoTriton,,>Co-sponsored>GOOS>DBCP>TAO TRITON,TAO TRITON,NA,>Coparrainage>GOOS>DBCP>TAO TRITON,TAO TRITON,s.o.,>Copatrocinado>SMOO>GCBD>TAO TRITON,TAO TRITON,NA,>Совместно спонсируемая>ГСНО> DBCP>TAO TRITON,TAO TRITON,NA
271,dbcpUCSDScripps,,>Co-sponsored>GOOS>DBCP>UCSD-SCRIPPS,UCSD-SCRIPPS,NA,>Coparrainage>GOOS>DBCP>UCSD-SCRIPPS,UCSD-SCRIPPS,s.o.,>Copatrocinado>SMOO>GCBD>UCSD-SCRIPPS,UCSD-SCRIPPS,NA,>Совместно спонсируемая>ГСНО> DBCP>UCSD-SCRIPPS,UCSD-SCRIPPS,NA
272,dbcpUKJerseyMB,,>Co-sponsored>GOOS>DBCP>UK-JERSEY MB,UK-JERSEY MB,NA,>Coparrainage>GOOS>DBCP>UK-JERSEY MB,UK-JERSEY MB,s.o.,>Copatrocinado>SMOO>GCBD>UK-JERSEY MB,UK-JERSEY MB,NA,>Совместно спонсируемая>ГСНО> DBCP>UK-JERSEY MB,UK-JERSEY MB,NA
273,dbcpUKMODB,,>Co-sponsored>GOOS>DBCP>UK-MO DB,UK-MO DB,NA,>Coparrainage>GOOS>DBCP>UK-MO DB,UK-MO DB,s.o.,>Copatrocinado>SMOO>GCBD>UK-MO DB,UK-MO DB,NA,>Совместно спонсируемая>ГСНО> DBCP>UK-MO DB,UK-MO DB,NA
274,dbcpUKMOFixed,,>Co-sponsored>GOOS>DBCP>UK-MO FIXED,UK-MO FIXED,NA,>Coparrainage>GOOS>DBCP>UK-MO FIXED,UK-MO FIXED,s.o.,>Copatrocinado>SMOO>GCBD>UK-MO FIXED,UK-MO FIXED,NA,>Совместно спонсируемая>ГСНО> DBCP>UK-MO FIXED,UK-MO FIXED,NA
