dct:description,rdfs:label,skos:notation,Comment,Constraints,id,name
"'IUPAC: formaldehyde, PubChem CID: 712, CAS Number: 50-00-0, in gas phase'@en","CH2O (methanal, formaldehyde)",'489',,,346,"CH2O (methanal, formaldehyde)"
"'IUPAC: ethanol, PubChem CID: 702, CAS Number: 64-17-5, in gas phase'@en",CH3CH2OH (ethanol),'490',,,347,CH3CH2OH (ethanol)
"'IUPAC: acetaldehyde, PubChem CID: 177, CAS Number: 75-07-0, in gas phase'@en","CH3CHO (acetaldehyde, ethanal)",'491',,,348,"CH3CHO (acetaldehyde, ethanal)"
"'IUPAC: acetonitrile, PubChem CID: 6342, CAS Number: 75-05-8, in gas phase'@en",CH3CN (acetonitrile),'492',,,349,CH3CN (acetonitrile)
"'IUPAC: methanol, PubChem CID: 887, CAS Number: 67-56-1, in gas phase'@en",CH3OH (methanol),'493',,,350,CH3OH (methanol)
''@en,NMHC,'494',,,351,NMHC
"'IUPAC: (Z)-but-2-ene, PubChem CID: 5287573, CAS Number: 590-18-1, in gas phase'@en",c-C4H8 (cis-2-butene),'495',,,352,c-C4H8 (cis-2-butene)
"'IUPAC: (Z)-pent-2-ene, PubChem CID: 5326160, CAS Number: 627-20-3, in gas phase'@en",c-C5H10 (cis-2-pentene),'496',,,353,c-C5H10 (cis-2-pentene)
"'IUPAC: 2-methylpropane, PubChem CID: 6360, CAS Number: 75-28-5, in gas phase'@en","i-C4H10 (2-methylpropane, iso-butane)",'497',,,354,"i-C4H10 (2-methylpropane, iso-butane)"
"'IUPAC: 2-methylprop-1-ene, PubChem CID: 8255, CAS Number: 115-11-7, in gas phase'@en","i-C4H8 (2-methylpropene, iso-butene)",'498',,,355,"i-C4H8 (2-methylpropene, iso-butene)"
"'IUPAC: 2-methylbutane, PubChem CID: 6556, CAS Number: 78-78-4, in gas phase'@en","i-C5H12 (2-methylbutane, iso-pentane)",'499',,,356,"i-C5H12 (2-methylbutane, iso-pentane)"
"'IUPAC: 2-methylhexane, PubChem CID: 11582, CAS Number: 591-76-4, in gas phase'@en","i-C7H16 (2-methylhexane, isoheptane)",'500',,,357,"i-C7H16 (2-methylhexane, isoheptane)"
"'IUPAC: butane, PubChem CID: 7843, CAS Number: 106-97-8, in gas phase'@en",n-C4H10 (n-butane),'501',,,358,n-C4H10 (n-butane)
"'IUPAC: pentane, PubChem CID: 8003, CAS Number: 109-66-0, in gas phase'@en",n-C5H12 (n-pentane),'502',,,359,n-C5H12 (n-pentane)
"'IUPAC: heptane, PubChem CID: 8900, CAS Number: 142-82-5, in gas phase'@en",n-C7H16 (n-heptane),'503',,,360,n-C7H16 (n-heptane)
"'IUPAC: (E)-but-2-ene, PubChem CID: 62695, CAS Number: 107-01-7, in gas phase'@en",t-C4H8 (trans-2-butene),'504',,,361,t-C4H8 (trans-2-butene)
"'IUPAC: (E)-pent-2-ene, PubChem CID: 5326161, CAS Number: 109-68-2, in gas phase'@en",t-C5H10 (trans-2-pentene),'505',,,362,t-C5H10 (trans-2-pentene)
''@en,Strong acids,'529',??,,363,Strong acids
"'IUPAC: 1,1-dichloro-1-fluoroethane, PubChem CID: 15586, CAS Number: 1717-00-6, in gas phase'@en","C2H3Cl2F (1,1-dichloro-1-fluoroethane, HCFC-141b)",'534',,,364,"C2H3Cl2F (1,1-dichloro-1-fluoroethane, HCFC-141b)"
"'IUPAC: 1-chloro-1,1-difluoroethane, PubChem CID: 6388, CAS Number: 75-68-3, in gas phase'@en","C2H3ClF2 (1-chloro-1,1-difluoroethane, HCFC-142b)",'535',,,365,"C2H3ClF2 (1-chloro-1,1-difluoroethane, HCFC-142b)"
"'IUPAC: 1,1,1-trifluoroethane, PubChem CID: 9868, CAS Number: 420-46-2, in gas phase'@en","C2H3F3 (1,1,1-trifluoroethane, HFC-143a)",'536',,,366,"C2H3F3 (1,1,1-trifluoroethane, HFC-143a)"
"'IUPAC: chloro(difluoro)methane, PubChem CID: 6372, CAS Number: 75-45-6, in gas phase'@en","CHClF2 (chlorodifluoromethane, HCFC-22)",'537',,,367,"CHClF2 (chlorodifluoromethane, HCFC-22)"
"'IUPAC: bromide, PubChem CID: 259, CAS Number: 24959-67-9, in total deposition'@en",Br- (bromide),'538',,,368,Br- (bromide)
"'IUPAC: chloride, PubChem CID: 312, CAS Number: 16887-00-6, in total deposition'@en",Cl- (chloride),'539',,,369,Cl- (chloride)
"'IUPAC: fluoride, PubChem CID: 28179, CAS Number: 16984-48-8, in total deposition'@en",F- (fluoride),'540',,,370,F- (fluoride)
"'IUPAC: iodide, PubChem CID: 30165, CAS Number: 20461-54-5, in total deposition'@en",I- (iodide),'541',,,371,I- (iodide)
"'IUPAC: phosphate, PubChem CID: 1061, CAS Number: 14265-44-2, in total deposition'@en",PO4--- (phosphate),'542',,,372,PO4--- (phosphate)
"'IUPAC: sulfate, PubChem CID: 1117, CAS Number: 14808-79-8, in total deposition'@en","SO4= (sulfate), corrected",'543',,,373,"SO4= (sulfate), corrected"
"'IUPAC: sulfate, PubChem CID: 1117, CAS Number: 14808-79-8, in total deposition'@en",SO4= (sulfate),'544',,,374,SO4= (sulfate)
"'IUPAC: calcium(2+), PubChem CID: 271, CAS Number: 14127-61-8, in total deposition'@en",Ca++ (calcium),'545',,,375,Ca++ (calcium)
"'IUPAC: magnesium(2+), PubChem CID: 888, CAS Number: 22537-22-0, in total deposition'@en",Mg++ (magnesium),'546',,,376,Mg++ (magnesium)
"'IUPAC: potassium(1+), PubChem CID: 813, CAS Number: 24203-36-9, in total deposition'@en",K+ (potassium),'547',,,377,K+ (potassium)
"'IUPAC: sodium(1+), PubChem CID: 923, CAS Number: 17341-25-2, in total deposition'@en",Na+ (sodium),'548',,,378,Na+ (sodium)
"'IUPAC: 1,1,1,2-tetrafluoroethane, PubChem CID: 13129, CAS Number: 811-97-2, in gas phase'@en","C2H2F4 (1,1,1,2-tetrafluoroethane, HFC-134a)",'554',,,379,"C2H2F4 (1,1,1,2-tetrafluoroethane, HFC-134a)"
"'IUPAC: 1,1-difluoroethane, PubChem CID: 6368, CAS Number: 75-37-6, in gas phase'@en","C2H4F2 (1,1-difluoroethane, HFC-152a)",'555',,,380,"C2H4F2 (1,1-difluoroethane, HFC-152a)"
"'IUPAC: 1,1,1,2,2-pentafluoroethane, PubChem CID: 9633, CAS Number: 354-33-6, in gas phase'@en","C2HF5 (pentafluoroethane, HFC-125)",'556',,,381,"C2HF5 (pentafluoroethane, HFC-125)"
"'IUPAC: 1,1,1,2,3,3-hexafluoropropane, PubChem CID: 79009, CAS Number: 431-63-0, in gas phase'@en","C3H2F6 (1,1,1,2,3,3-hexafluoropropane, HFC-236ea)",'557',,,382,"C3H2F6 (1,1,1,2,3,3-hexafluoropropane, HFC-236ea)"
"'IUPAC: 1,1,1,3,3-pentafluoropropane, PubChem CID: 68030, CAS Number: 460-73-1, in gas phase'@en","C3H3F5 (1,1,1,3,3-Pentafluoropropane, HFC-245fa)",'558',,,383,"C3H3F5 (1,1,1,3,3-Pentafluoropropane, HFC-245fa)"
"'IUPAC: 1,1,1,2,3,3,3-heptafluoropropane, PubChem CID: 67940, CAS Number: 431-89-0, in gas phase'@en","C3HF7 (1,1,1,2,3,3,3-Heptafluoropropane, HFC-227ea)",'559',,,384,"C3HF7 (1,1,1,2,3,3,3-Heptafluoropropane, HFC-227ea)"
"'IUPAC: 1,1,1,3,3-pentafluorobutane, PubChem CID: 67884, CAS Number: 406-58-6, in gas phase'@en","C4H5F5 (1,1,1,3,3-pentafluorobutane, HFC-365mfc)",'560',,,385,"C4H5F5 (1,1,1,3,3-pentafluorobutane, HFC-365mfc)"
"'IUPAC: difluoromethane, PubChem CID: 6345, CAS Number: 75-10-5, in gas phase'@en","CH2F2 (difluoromethane, HFC-32)",'561',,,386,"CH2F2 (difluoromethane, HFC-32)"
"'IUPAC: fluoroform, PubChem CID: 6373, CAS Number: 75-46-7, in gas phase'@en","CHF3 (trifluoromethane, HFC-23)",'562',,,387,"CHF3 (trifluoromethane, HFC-23)"
"'IUPAC: azanium, PubChem CID: 223, CAS Number: 14798-03-9, in total deposition'@en",NH4+ (ammonium),'568',,,388,NH4+ (ammonium)
"'IUPAC: nitrate, PubChem CID: 943, CAS Number: 14797-55-8, in total deposition'@en",NO3- (nitrate),'569',,,389,NO3- (nitrate)
"'IUPAC: nitrite, PubChem CID: 946, CAS Number: 14797-65-0, in total deposition'@en",NO2- (nitrite),'570',,,390,NO2- (nitrite)
"'IUPAC: acetate, PubChem CID: 175, CAS Number: 71-50-1, in total deposition'@en",CH3COO- (acetate),'576',,,391,CH3COO- (acetate)
"'IUPAC: formate, PubChem CID: 283, CAS Number: 71-47-6, in total deposition'@en",HCOO- (formate),'577',,,392,HCOO- (formate)
"'IUPAC: propanoate, PubChem CID: 104745, CAS Number: 72-03-7, in total deposition'@en",C2H5COO- (propionate),'578',,,393,C2H5COO- (propionate)
"'IUPAC: 1,2-dichloro-1,1,2,2-tetrafluoroethane, PubChem CID: 6429, CAS Number: 76-14-2'@en","C2Cl2F4 (1,2-dichlorotetrafluoroethane, CFC-114)",'589',,,394,"C2Cl2F4 (1,2-dichlorotetrafluoroethane, CFC-114)"
"'IUPAC: 1,1,2-trichloro-1,2,2-trifluoroethane, PubChem CID: 6428, CAS Number: 76-13-1, in gas phase'@en","C2Cl3F3 (1,1,2-trichloro-1,2,2-trifluoroethane, CFC-113)",'590',,,395,"C2Cl3F3 (1,1,2-trichloro-1,2,2-trifluoroethane, CFC-113)"
"'IUPAC: 1-chloro-1,1,2,2,2-pentafluoroethane, PubChem CID: 6430, CAS Number: 76-15-3, in gas phase'@en","C2ClF5 (1-chloro-1,1,2,2,2-pentafluoroethane, CFC-115)",'591',,,396,"C2ClF5 (1-chloro-1,1,2,2,2-pentafluoroethane, CFC-115)"
"'IUPAC: dichloro(difluoro)methane, PubChem CID: 6391, CAS Number: 75-71-8, in gas phase'@en","CCl2F2 (dichlorodifluoromethane, CFC-12)",'592',,,397,"CCl2F2 (dichlorodifluoromethane, CFC-12)"
"'IUPAC: trichloro(fluoro)methane, PubChem CID: 6389, CAS Number: 75-69-4, in gas phase'@en","CCl3F (trichlorofluoromethane, CFC-11)",'593',,,398,"CCl3F (trichlorofluoromethane, CFC-11)"
"'IUPAC: tetrachloromethane, PubChem CID: 5943, CAS Number: 56-23-5, in gas phase'@en","CCl4 (tetrachloromethane, carbon tetrachloride)",'594',,,399,"CCl4 (tetrachloromethane, carbon tetrachloride)"
"'IUPAC: 1,1,1-trichloroethane, PubChem CID: 6278, CAS Number: 71-55-6, in gas phase'@en","CH3CCl3 (1,1,1-trichloroethane, methyl chloroform)",'595',,,400,"CH3CCl3 (1,1,1-trichloroethane, methyl chloroform)"
"'IUPAC: aluminium, PubChem CID: 5359268, CAS Number: 7429-90-5, in total deposition'@en",Al (aluminium),'597',,,401,Al (aluminium)
"'IUPAC: arsenic, PubChem CID: 5359596, CAS Number: 7440-38-2, in total deposition'@en",As (arsenic),'598',,,402,As (arsenic)
"'IUPAC: cadmium, PubChem CID: 23973, CAS Number: 7440-43-9, in total deposition'@en",Cd (cadmium),'599',,,403,Cd (cadmium)
"'IUPAC: chromium, PubChem CID: 23976, CAS Number: 7440-47-3, in total deposition'@en",Cr (chromium),'600',,,404,Cr (chromium)
"'IUPAC: cobalt, PubChem CID: 104730, CAS Number: 7440-48-4, in total deposition'@en",Co (cobalt),'601',,,405,Co (cobalt)
"'IUPAC: copper, PubChem CID: 23978, CAS Number: 7440-50-8, in total deposition'@en",Cu (copper),'602',,,406,Cu (copper)
"'IUPAC: iron, PubChem CID: 23925, CAS Number: 7439-89-6, in total deposition'@en",Fe (iron),'603',,,407,Fe (iron)
"'IUPAC: lead, PubChem CID: 5352425, CAS Number: 7439-92-1, in total deposition'@en",Pb (lead),'604',,,408,Pb (lead)
"'IUPAC: manganese, PubChem CID: 23930, CAS Number: 7439-96-5, in total deposition'@en",Mn (manganese),'605',,,409,Mn (manganese)
"'IUPAC: mercury, PubChem CID: 23931, CAS Number: 7439-97-6, in total deposition'@en",Hg (mercury),'606',,,410,Hg (mercury)
"'IUPAC: nickel, PubChem CID: 936, CAS Number: 7440-02-1, in total deposition'@en",Ni (nickel),'607',,,411,Ni (nickel)
"'IUPAC: vanadium, PubChem CID: 23990, CAS Number: 7440-62-2, in total deposition'@en",V (vanadium),'608',,,412,V (vanadium)
"'IUPAC: zinc, PubChem CID: 23994, CAS Number: 7440-66-6, in total deposition'@en",Zn (zinc),'609',,,413,Zn (zinc)
"'IUPAC: chloride, PubChem CID: 312, CAS Number: 16887-00-6, in particle phase, PM1'@en","Cl- (chloride), PM1",'614',with Constraint,,414,"Cl- (chloride), PM1"
"'IUPAC: chloride, PubChem CID: 312, CAS Number: 16887-00-6, in particle phase, PM10'@en","Cl- (chloride), PM10",'615',with Constraint,,415,"Cl- (chloride), PM10"
"'IUPAC: chloride, PubChem CID: 312, CAS Number: 16887-00-6, in particle phase, PM2.5'@en","Cl- (chloride), PM2.5",'616',with Constraint,,416,"Cl- (chloride), PM2.5"
"'IUPAC: chloride, PubChem CID: 312, CAS Number: 16887-00-6, in particle phase, TSP'@en","Cl- (chloride), TSP",'617',with Constraint,,417,"Cl- (chloride), TSP"
"'IUPAC: fluoride, PubChem CID: 28179, CAS Number: 16984-48-8, in particle phase, TSP'@en","F- (fluoride), TSP",'618',with Constraint,,418,"F- (fluoride), TSP"
"'IUPAC: sulfate, PubChem CID: 1117, CAS Number: 14808-79-8, in particle phase'@en","SO4= (sulfate), corrected",'619',with Constraint,,419,"SO4= (sulfate), corrected"
"'IUPAC: sulfate, PubChem CID: 1117, CAS Number: 14808-79-8, in particle phase, TSP'@en","SO4= (sulfate), TSP",'620',with Constraint,,420,"SO4= (sulfate), TSP"
"'IUPAC: sulfate, PubChem CID: 1117, CAS Number: 14808-79-8, in particle phase, PM10'@en","SO4= (sulfate), PM10",'621',with Constraint,,421,"SO4= (sulfate), PM10"
"'IUPAC: sulfate, PubChem CID: 1117, CAS Number: 14808-79-8, in particle phase, PM2.5'@en","SO4= (sulfate), PM2.5",'622',with Constraint,,422,"SO4= (sulfate), PM2.5"
'Carbonaceous fraction of particulate matter that is thermally stable in an inert atmosphere to high temperatures near 4000 K and can only be gasified by oxidation starting at temperatures above 340 degC. It is assumed to be inert and non-volatile under atmospheric conditions and insoluble in any solvent. Size range: PM10'@en,"Elemental carbon, PM10",'623',with Constraint,,423,"Elemental carbon, PM10"
'Carbonaceous fraction of particulate matter that is thermally stable in an inert atmosphere to high temperatures near 4000 K and can only be gasified by oxidation starting at temperatures above 340 degC. It is assumed to be inert and non-volatile under atmospheric conditions and insoluble in any solvent. Size range: PM1'@en,"Elemental carbon, PM1",'624',with Constraint,,424,"Elemental carbon, PM1"
'Carbonaceous fraction of particulate matter that is thermally stable in an inert atmosphere to high temperatures near 4000 K and can only be gasified by oxidation starting at temperatures above 340 degC. It is assumed to be inert and non-volatile under atmospheric conditions and insoluble in any solvent. Size range: PM2.5'@en,"Elemental carbon, PM2.5",'625',with Constraint,,425,"Elemental carbon, PM2.5"
"'Sum of elemental and organic carbon. Includes inorganic carbon, which is operationally distributed between elemental and organic carbon. Size range: PM10'@en","Total carbon, PM10",'626',with Constraint,,426,"Total carbon, PM10"
"'IUPAC: calcium(2+), PubChem CID: 271, CAS Number: 14127-61-8, in particle phase, PM10'@en","Ca++ (calcium), PM10",'632',with Constraint,,427,"Ca++ (calcium), PM10"
"'IUPAC: calcium(2+), PubChem CID: 271, CAS Number: 14127-61-8, in particle phase, PM2.5'@en","Ca++ (calcium), PM2.5",'633',with Constraint,,428,"Ca++ (calcium), PM2.5"
"'IUPAC: calcium(2+), PubChem CID: 271, CAS Number: 14127-61-8, in particle phase, TSP'@en","Ca++ (calcium), TSP",'634',with Constraint,,429,"Ca++ (calcium), TSP"
"'IUPAC: magnesium(2+), PubChem CID: 888, CAS Number: 22537-22-0, in particle phase, PM10'@en","Mg++ (magnesium), PM10",'635',with Constraint,,430,"Mg++ (magnesium), PM10"
"'IUPAC: magnesium(2+), PubChem CID: 888, CAS Number: 22537-22-0, in particle phase, PM2.5'@en","Mg++ (magnesium), PM2.5",'636',with Constraint,,431,"Mg++ (magnesium), PM2.5"
"'IUPAC: magnesium(2+), PubChem CID: 888, CAS Number: 22537-22-0, in particle phase, TSP'@en","Mg++ (magnesium), TSP",'637',with Constraint,,432,"Mg++ (magnesium), TSP"
"'IUPAC: potassium(1+), PubChem CID: 813, CAS Number: 24203-36-9, in particle phase, PM10'@en","K+ (potassium), PM10",'638',with Constraint,,433,"K+ (potassium), PM10"
"'IUPAC: potassium(1+), PubChem CID: 813, CAS Number: 24203-36-9, in particle phase, PM2.5'@en","K+ (potassium), PM2.5",'639',with Constraint,,434,"K+ (potassium), PM2.5"
"'IUPAC: potassium(1+), PubChem CID: 813, CAS Number: 24203-36-9, in particle phase, TSP'@en","K+ (potassium), TSP",'640',with Constraint,,435,"K+ (potassium), TSP"
"'IUPAC: sodium(1+), PubChem CID: 923, CAS Number: 17341-25-2, in particle phase, PM10'@en","Na+ (sodium), PM10",'641',with Constraint,,436,"Na+ (sodium), PM10"
"'IUPAC: sodium(1+), PubChem CID: 923, CAS Number: 17341-25-2, in particle phase, PM2.5'@en","Na+ (sodium), PM2.5",'642',with Constraint,,437,"Na+ (sodium), PM2.5"
"'IUPAC: sodium(1+), PubChem CID: 923, CAS Number: 17341-25-2, in particle phase, TSP'@en","Na+ (sodium), TSP",'643',with Constraint,,438,"Na+ (sodium), TSP"
"'IUPAC: azane, PubChem CID: 222, CAS Number: 7664-41-7, in particle phase, PM2.5'@en","NH3 (ammonia), PM2.5",'644',with Constraint,,439,"NH3 (ammonia), PM2.5"
"'IUPAC: azanium, PubChem CID: 223, CAS Number: 14798-03-9, in particle phase, PM10'@en","NH4+ (ammonium), PM10",'645',with Constraint,,440,"NH4+ (ammonium), PM10"
"'IUPAC: azanium, PubChem CID: 223, CAS Number: 14798-03-9, in particle phase, PM2.5'@en","NH4+ (ammonium), PM2.5",'646',with Constraint,,441,"NH4+ (ammonium), PM2.5"
"'IUPAC: azanium, PubChem CID: 223, CAS Number: 14798-03-9, in particle phase, TSP'@en","NH4+ (ammonium), TSP",'647',with Constraint,,442,"NH4+ (ammonium), TSP"
"'IUPAC: ammonium nitrate, PubChem CID: 22985, CAS Number: 6484-52-2, in particle phase, TSP'@en","NH4NO4 (ammonium nitrate), TSP",'648',with Constraint,,443,"NH4NO4 (ammonium nitrate), TSP"
"'IUPAC: ammonium nitrate, PubChem CID: 22985, CAS Number: 6484-52-2, in particle phase, PM1'@en","NH4NO3 (ammonium nitrate), PM1",'649',with Constraint,,444,"NH4NO3 (ammonium nitrate), PM1"
"'IUPAC: nitrate, PubChem CID: 943, CAS Number: 14797-55-8, in particle phase, PM10'@en","NO3- (nitrate), PM10",'650',with Constraint,,445,"NO3- (nitrate), PM10"
"'IUPAC: nitrate, PubChem CID: 943, CAS Number: 14797-55-8, in particle phase, PM2.5'@en","NO3- (nitrate), PM2.5",'651',with Constraint,,446,"NO3- (nitrate), PM2.5"
"'IUPAC: nitrate, PubChem CID: 943, CAS Number: 14797-55-8, in particle phase, TSP'@en","NO3- (nitrate), TSP",'652',with Constraint,,447,"NO3- (nitrate), TSP"
"'IUPAC: nitrite, PubChem CID: 946, CAS Number: 14797-65-0, in particle phase, TSP'@en","NO2- (nitrite), TSP",'653',with Constraint,,448,"NO2- (nitrite), TSP"
'Sum of NH3 (ammonia) and NH4+ (ammonium)'@en,Sum of NH3 (ammonia) and NH4+ (ammonium),'654',with Matrix?,,449,Sum of NH3 (ammonia) and NH4+ (ammonium)
'Sum of HNO3 (nitric acid) and NO3- (nitrate)'@en,Sum of HNO3 (nitric acid) and NO3- (nitrate),'655',with Matrix?,,450,Sum of HNO3 (nitric acid) and NO3- (nitrate)
'Major chemical components'@en,Major chemical components,'656',with Constraint,,451,Major chemical components
"'Major inorganic components, TSP'@en","Major inorganic components, TSP",'657',with Constraint,,452,"Major inorganic components, TSP"
"'Major inorganic components, coarse'@en","Major inorganic components, coarse",'658',with Constraint,,453,"Major inorganic components, coarse"
"'Major inorganic components, fine'@en","Major inorganic components, fine",'659',with Constraint,,454,"Major inorganic components, fine"
"'Other chemical components, coarse'@en","Other chemical components, coarse",'660',with Constraint,,455,"Other chemical components, coarse"
"'Other chemical components, fine'@en","Other chemical components, fine",'661',with Constraint,,456,"Other chemical components, fine"
"'IUPAC: acetate, PubChem CID: 175, CAS Number: 71-50-0, in particle phase, PM1'@en","C2H3O2- (CH3COO-, acetate), PM1",'662',with Constraint,,457,"C2H3O2- (CH3COO-, acetate), PM1"
"'IUPAC: acetate, PubChem CID: 175, CAS Number: 71-50-0, in particle phase'@en","C2H3O2- (CH3COO-, acetate)",'663',with Constraint,,458,"C2H3O2- (CH3COO-, acetate)"
"'IUPAC: oxalate, PubChem CID: 71081, CAS Number: 338-70-5, in particle phase, PM1'@en","C2O4= (oxalate, ethanedioate), PM1",'664',with Constraint,,459,"C2O4= (oxalate, ethanedioate), PM1"
"'IUPAC: oxalate, PubChem CID: 71081, CAS Number: 338-70-5, in particle phase, PM10'@en","C2O4= (oxalate, ethanedioate), PM10",'665',with Constraint,,460,"C2O4= (oxalate, ethanedioate), PM10"
"'IUPAC: oxalate, PubChem CID: 71081, CAS Number: 338-70-5, in particle phase, TSP'@en","C2O4= (oxalate, ethanedioate), TSP",'666',with Constraint,,461,"C2O4= (oxalate, ethanedioate), TSP"
"'IUPAC: methanesulfonate, PubChem CID: 85257, CAS Number: 16053-58-0, in particle phase, PM1'@en","CH3O3S- (methanesulfonate), PM1",'667',with Constraint,,462,"CH3O3S- (methanesulfonate), PM1"
"'IUPAC: methanesulfonate, PubChem CID: 85257, CAS Number: 16053-58-0, in particle phase, TSP'@en","CH3O3S- (methanesulfonate), TSP",'668',with Constraint,,463,"CH3O3S- (methanesulfonate), TSP"
"'IUPAC: formate, PubChem CID: 283, CAS Number: 71-47-6, in particle phase'@en","CHO2- (HCOO-, formate)",'669',,,464,"CHO2- (HCOO-, formate)"
''@en,"Carbonaceous-organic material, PM10",'670',with Constraint,,465,"Carbonaceous-organic material, PM10"
''@en,"Carbonaceous-organic material, fine",'671',with Constraint,,466,"Carbonaceous-organic material, fine"
"'IUPAC: titanium, PubChem CID: 23963, CAS Number: 7440-32-6, in particle phase, TSP'@en","Ti (titanium), TSP",'672',with Constraint,,467,"Ti (titanium), TSP"
"'IUPAC: aluminium, PubChem CID: 5359268, CAS Number: 7429-90-5, in particle phase, PM2.5'@en","Al (aluminium), PM2.5",'673',with Constraint,,468,"Al (aluminium), PM2.5"
"'IUPAC: aluminium, PubChem CID: 5359268, CAS Number: 7429-90-5, in particle phase, TSP'@en","Al (aluminium), TSP",'674',with Constraint,,469,"Al (aluminium), TSP"
"'IUPAC: antimony, PubChem CID: 5354495, CAS Number: 7440-36-0, in particle phase, PM2.5'@en","Sb (antimony), PM2.5",'675',with Constraint,,470,"Sb (antimony), PM2.5"
"'IUPAC: antimony, PubChem CID: 5354495, CAS Number: 7440-36-0, in particle phase, TSP'@en","Sb (antimony), TSP",'676',with Constraint,,471,"Sb (antimony), TSP"
"'IUPAC: arsenic, PubChem CID: 5359596, CAS Number: 7440-38-2, in particle phase, PM10'@en","As (arsenic), PM10",'677',with Constraint,,472,"As (arsenic), PM10"
"'IUPAC: arsenic, PubChem CID: 5359596, CAS Number: 7440-38-2, in particle phase, TSP'@en","As (arsenic), TSP",'678',with Constraint,,473,"As (arsenic), TSP"
"'IUPAC: barium, PubChem CID: 5355457, CAS Number: 7440-39-3, in particle phase, PM2.5'@en","Ba (barium), PM2.5",'679',with Constraint,,474,"Ba (barium), PM2.5"
"'IUPAC: barium, PubChem CID: 5355457, CAS Number: 7440-39-3, in particle phase, TSP'@en","Ba (barium), TSP",'680',with Constraint,,475,"Ba (barium), TSP"
"'IUPAC: bismuth, PubChem CID: 5359367, CAS Number: 7440-69-9, in particle phase, PM2.5'@en","Bi (bismuth), PM2.5",'681',with Constraint,,476,"Bi (bismuth), PM2.5"
"'IUPAC: bismuth, PubChem CID: 5359367, CAS Number: 7440-69-9, in particle phase, TSP'@en","Bi (bismuth), TSP",'682',with Constraint,,477,"Bi (bismuth), TSP"
"'IUPAC: cadmium, PubChem CID: 23973, CAS Number: 7440-43-9, in particle phase, PM1'@en","Cd (cadmium), PM1",'683',with Constraint,,478,"Cd (cadmium), PM1"
"'IUPAC: cadmium, PubChem CID: 23973, CAS Number: 7440-43-9, in particle phase, PM10'@en","Cd (cadmium), PM10",'684',with Constraint,,479,"Cd (cadmium), PM10"
"'IUPAC: cadmium, PubChem CID: 23973, CAS Number: 7440-43-9, in particle phase, PM2.5'@en","Cd (cadmium), PM2.5",'685',with Constraint,,480,"Cd (cadmium), PM2.5"
"'IUPAC: cadmium, PubChem CID: 23973, CAS Number: 7440-43-9, in particle phase, PM2.5 - PM10'@en","Cd (cadmium), PM2.5 - PM10",'686',with Constraint,,481,"Cd (cadmium), PM2.5 - PM10"
"'IUPAC: cadmium, PubChem CID: 23973, CAS Number: 7440-43-9, in particle phase, TSP'@en","Cd (cadmium), TSP",'687',with Constraint,,482,"Cd (cadmium), TSP"
"'IUPAC: cerium, PubChem CID: 23974, CAS Number: 7440-45-1, in particle phase, PM2.5'@en","Ce (cerium), PM2.5",'688',with Constraint,,483,"Ce (cerium), PM2.5"
"'IUPAC: cerium, PubChem CID: 23974, CAS Number: 7440-45-1, in particle phase, TSP'@en","Ce (cerium), TSP",'689',with Constraint,,484,"Ce (cerium), TSP"
"'IUPAC: chromium, PubChem CID: 23976, CAS Number: 7440-47-3, in particle phase, TSP'@en","Cr (chromium), TSP",'690',with Constraint,,485,"Cr (chromium), TSP"
"'IUPAC: cobalt, PubChem CID: 104730, CAS Number: 7440-48-4, in particle phase, TSP'@en","Co (cobalt), TSP",'691',with Constraint,,486,"Co (cobalt), TSP"
"'IUPAC: copper, PubChem CID: 23978, CAS Number: 7440-50-8, in particle phase, PM10'@en","Cu (copper), PM10",'692',with Constraint,,487,"Cu (copper), PM10"
"'IUPAC: copper, PubChem CID: 23978, CAS Number: 7440-50-8, in particle phase, TSP'@en","Cu (copper), TSP",'693',with Constraint,,488,"Cu (copper), TSP"
"'IUPAC: iron, PubChem CID: 23925, CAS Number: 7439-89-6, in particle phase, TSP'@en","Fe (iron), TSP",'694',with Constraint,,489,"Fe (iron), TSP"
"'IUPAC: lanthanum, PubChem CID: 23926, CAS Number: 7439-91-0, in particle phase, PM2.5'@en","La (lanthanum), PM2.5",'695',with Constraint,,490,"La (lanthanum), PM2.5"
"'IUPAC: lanthanum, PubChem CID: 23926, CAS Number: 7439-91-0, in particle phase, TSP'@en","La (lanthanum), TSP",'696',with Constraint,,491,"La (lanthanum), TSP"
"'IUPAC: lead, PubChem CID: 5352425, CAS Number: 7439-92-1, in particle phase, PM10'@en","Pb (lead), PM10",'697',with Constraint,,492,"Pb (lead), PM10"
"'IUPAC: lead, PubChem CID: 5352425, CAS Number: 7439-92-1, in particle phase, TSP'@en","Pb (lead), TSP",'698',with Constraint,,493,"Pb (lead), TSP"
"'IUPAC: lithium, PubChem CID: 3028194, CAS Number: 7439-93-2, in particle phase, PM2.5'@en","Li (lithium), PM2.5",'699',with Constraint,,494,"Li (lithium), PM2.5"
"'IUPAC: lithium, PubChem CID: 3028194, CAS Number: 7439-93-2, in particle phase, TSP'@en","Li (lithium), TSP",'700',with Constraint,,495,"Li (lithium), TSP"
"'IUPAC: manganese, PubChem CID: 23930, CAS Number: 7439-96-5, in particle phase, PM10'@en","Mn (manganese), PM10",'701',with Constraint,,496,"Mn (manganese), PM10"
